src,race_date,race_course,race_number,race_id,race_class,race_distance,track_condition,race_name,track,sectional_time,incident_report
20140914-1.html,2014-09-14,Sha Tin,1,2014-001,Class 5,1400,GOOD TO FIRM,TIM WA HANDICAP,"TURF - ""A"" COURSE",13.59 22.08 23.11 23.55,"
                When about to enter the track, SHANTARAAM became fractious, reared on two occasions and then threw itself down.  SHANTARAAM was examined by Veterinary Officer who said in his opinion it was unsuitable to race.  Accordingly, SHANTARAAM was withdrawn by order of the Stewards acting on veterinary advice.  Before being allowed to race again, SHANTARAAM will be subjected to an official veterinary examination.  In this incident, O Doleuze was dislodged from SHANTARAAM.  O Doleuze was subsequently examined by the Clubâs medical officers and cleared to fulfil his remaining race riding engagements.
SUPREME PROFIT began only fairly.
Approaching the 1300 Metres, TAI PO FORTUNE blundered when being shifted in behind AMAZING GIFT.  TAI PO FORTUNE then got its head up when racing keenly passing the 1000 Metres.
Near the 800 Metres, COOL PAL was left racing wide and without cover.
Passing the 300 Metres, SUPREME PROFIT lay in and proved reluctant to shift to the outside of DOUBLE DRAGON.  SUPREME PROFIT continued to hang in under pressure and over the concluding stages raced tight outside GOLDWEAVER.  Because of this, SUPREME PROFIT was not able to be properly tested over the concluding stages.
DOUBLE DRAGON and PLAIN BLUE BANNER were sent for sampling.
            "
20140914-10.html,2014-09-14,Sha Tin,10,2014-010,Class 2,1400,GOOD TO FIRM,COTTON TREE HANDICAP,"TURF - ""A"" COURSE",13.55 22.25 22.89 22.85,"
                SMART MAN was slow to begin.
Shortly after the start, LITTLE MEN lost ground when crowded for room between SICHUAN VIGOUR and MULTIVICTORY which shifted out slightly.
From the outside barrier, AUTUMN GOLD was taken across behind runners in the early stages.
When being steadied to obtain cover after the 1300 Metres, SICHUAN VIGOUR raced keenly.
Passing the 200 Metres, LITTLE MEN and HELENE SUPER STAR raced tight.
Throughout the race, TRUMP travelled wide and without cover.
A veterinary inspection of SICHUAN VIGOUR immediately following the race revealed the horse to have superficial abrasions to the right hock.
TRUMP and MULTIVICTORY were sent for sampling.
            "
20140914-2.html,2014-09-14,Sha Tin,2,2014-002,Class 5,1200,GOOD TO FIRM,TIM MEI HANDICAP,"TURF - ""A"" COURSE",24.06 22.25 23.66,"
                ALLEY-OOP and FLYING KEEPER were slow to begin.
JUST GOOD shifted out at the start and bumped SPARKLING SWORD which became unbalanced and in turn bumped the hindquarters of CALIFORNIA ROCK.
From the outside barrier, KING ON EARTH was shifted across behind runners in the early stages.
K C Leung (MASSIVE) pleaded guilty to a charge of careless riding [Rule 100(1)] in that near 1100 Metres he permitted his mount to shift in when not clear of CALIFORNIA ROCK which was taken in onto SPARKLING SWORD, resulting in those horses being unnecessarily crowded for room and causing SPARKLING SWORD to lose its rightful running approaching the 1000 Metres.  In this incident, MONEY CAFE was steadied away from the heels of SPARKLING SWORD near the 1100 Metres and AMERICAN FAME became unbalanced when bumped by SPARKLING SWORD near the 1000 Metres.  K C Leung was suspended from riding in races for a period to expire on Thursday, 9 October 2014 on which day he may resume race riding (2 Hong Kong racedays).  The commencement of the suspension was deferred until after the Sha Tin racemeeting on Wednesday, 1 October 2014.  In assessing penalty, the Stewards took into consideration Jockey Leungâs good race riding record during the most recent 2013/2014 racing season.
Passing the 1100 Metres, JUST MISTERE was steadied away from the heels of JOYFUL LUCK (O Doleuze) which shifted in when not quite clear.  O Doleuze was advised to exercise more care.
When being steadied to obtain cover behind POSITIVE ENERGY after the 1000 Metres, JOYFUL LUCK got its head up on a number of occasions.
After the 700 Metres, JOYFUL LUCK travelled wide and without cover.
Passing the 300 Metres, SHANGHAI PIONEER got its head on the side and lay in.
When questioned regarding the disappointing performance of SPARKLING SWORD, Z Purton stated that after bumping MONEY CAFE shortly after the start, SPARKLING SWORD became unbalanced and was inclined to race keenly.  He said after being crowded for room for some distance approaching the 1000 Metres, SPARKLING SWORD did not travel comfortably at any stage thereafter and he was obliged to ride the horse along in an endeavour to maintain its position.  He added after being placed under heavy pressure rounding the Home Turn, SPARKLING SWORD was particularly disappointing in the manner in which it did not respond to his riding and gave ground noticeably over the latter stages of the race.  A veterinary inspection of SPARKLING SWORD immediately following the race did not show any significant findings.  The performance of SPARKLING SWORD, a favourite for todayâs race, was considered unacceptable.  Before being allowed to race again, SPARKLING SWORD will be required to perform to the satisfaction of the Stewards in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of CALIFORNIA ROCK and JOYFUL LUCK immediately following the race did not show any significant findings.
SPARKLING SWORD, JUST MISTERE and MASSIVE were sent for sampling.
            "
20140914-3.html,2014-09-14,Sha Tin,3,2014-003,Class 1,1200,GOOD TO FIRM,THE HKSAR CHIEF EXECUTIVE'S CUP (HANDICAP),"TURF - ""A"" COURSE",23.42 22.48 22.47,"
                On arrival at the Start, it was noted that LORD SINCLAIR had lost its right front plate.  This plate was refitted.  LORD SINCLAIR was examined by the Veterinary Officer who said in his opinion it was suitable to race.
From a wide barrier, LORD SINCLAIR was shifted across behind runners in the early stages.
Near the 850 Metres, BEST ELEVEN was steadied away from the heels of DIVINE TEN (D Whyte) which shifted in.  D Whyte was reprimanded and advised to ensure that he is sufficiently clear when shifting ground in future.
After the 700 Metres, EL ZONDA proved very difficult to settle and got its head up on a number of occasions.
Throughout the race, SMART VOLATILITY travelled wide and without cover.
When questioned, A Suborics stated that, from an outside barrier, he was asked to ride HELENE SPIRIT in about a midfield position if possible.  He said this was due to the fact that HELENE SPIRIT was racing over 1200 Metres and also for the fact that todayâs race was expected to be run at a fast tempo.  He said shortly after the start he commenced to shift HELENE SPIRIT across behind runners, however, at the same time LORD SINCLAIR, which was drawn inside HELENE SPIRIT, was also steadied by its rider and for this reason HELENE SPIRIT was obliged to race further back in the field than had been hoped.
A veterinary inspection of DIVINE TEN immediately following the race revealed that the horse was displaying an irregular heart rhythm.  Before being allowed to race again, DIVINE TEN will be required to perform satisfactorily in an official barrier trial and be subjected to an official veterinary examination.
A veterinary inspection of TOUR DE FORCE immediately following the race did not show any significant findings.
DIVINE TEN, GOLDEN HARVEST and SMART VOLATILITY were sent for sampling.
            "
20140914-4.html,2014-09-14,Sha Tin,4,2014-004,Class 4,1200,GOOD TO FIRM,LUNG WUI HANDICAP,"TURF - ""A"" COURSE",24.00 22.62 22.64,"
                Just prior to the start being effected, LUCKY DAY became fractious and when the gates were released lost ground.  Before being allowed to race again, LUCKY DAY will be required to perform satisfactorily in a stalls test.
OPTIMISM was crowded for room at the start between WINNING BOY and ROMANTIC CASH which shifted out.
WIN CHANCE was slow to begin.
Approaching the 1000 Metres, FOREVER AHEAD was bumped and taken wider by COLLAGEN which shifted out away from the heels of EXCITABLE BOY after being crossed by that horse.
Near the 650 Metres, ABLE WARRIOR was taken wider by SILVER DRAGON which shifted out away from the heels of GOLDEN GUNNERS when racing keenly. 
Throughout the race, ROMANTIC CASH travelled wide and without cover.
A veterinary inspection of GOLDEN GUNNERS immediately following the race revealed that the horse was displaying an irregular heart rhythm.  Before being allowed to race again, GOLDEN GUNNERS will be required to perform satisfactorily in an official barrier trial and be subjected to an official veterinary examination.
ROMANTIC CASH and HIT THE BID were sent for sampling.
            "
20140914-5.html,2014-09-14,Sha Tin,5,2014-005,Class 4,1000,GOOD TO FIRM,HARCOURT HANDICAP,"TURF - ""A"" COURSE",13.00 20.42 22.94,"
                As the start was effected, INCREDIBLE FELLOW lifted its front feet off the ground and began only fairly.
DARK CORE began awkwardly and shortly after the start bumped REAL FIT after being taken out by VICTORY GENERAL.
Near the 750 Metres, MELLIFLUENT was awkwardly placed close to the heels of FLASHING GUY.
Passing the 600 Metres, SIR JOHN was momentarily crowded for room outside FLASHING GUY.
ORIENTAL PROSPER lost its right front plate near the 500 Metres.
Near the 500 Metres, after initially being directed in by HIGHLAND DRAGON which shifted in away from the heels of FLASHING GUY, REAL FIT (Apprentice K C Ng) blundered after striking the heels of DARK CORE which at that time was racing tight outside GALLANT ROCK which shifted marginally.  In this incident, Apprentice Ng lost the use of his right iron which he was unable to regain for the remainder of the race, resulting in him being placed at a significant disadvantage in riding out REAL FIT.
Also near the 500 Metres, HAYHAY momentarily raced in restricted room between OCEAN ROAR and INCREDIBLE FELLOW which shifted out.
Passing the 400 Metres, REAL FIT was awkwardly placed close to the heels of OCEAN ROAR.
Near the 250 Metres, DARK CORE was steadied when crowded for room between REAL FIT which shifted in and ORIENTAL PROSPER which shifted out.  As the Stewards were of the opinion that there was no rider error involved with this incident, no further action was taken.
Near the 50 Metres, SENSATION was shifted in abruptly away from the heels of INCREDIBLE FELLOW.
After the race, J Moreira reported that although DARK CORE was crowded for room near the 250 Metres, the horse was nonetheless disappointing in the manner in which it failed to respond to his riding.  A veterinary inspection of DARK CORE immediately following the race did not show any significant findings.
SENSATION and MELLIFLUENT were sent for sampling.
            "
20140914-6.html,2014-09-14,Sha Tin,6,2014-006,Class 3,1400,GOOD TO FIRM,GARDEN ROAD HANDICAP,"TURF - ""A"" COURSE",13.28 21.84 23.84 23.20,"
                Approaching the 800 Metres, MEGA CHAMPION was awkwardly placed close to the heels of AMBASSADORSHIP which was awkwardly placed close to the heels of BEST TANGO for some distance.
GOOD CHOICE had difficulty obtaining clear running in the early part of the Straight and then passing the 300 Metres was steadied when disappointed for running between STARTING OVER and JAZZY FEELING which shifted out.
Near the 200 Metres, MEGA CHAMPION was awkwardly placed when attempting a run between BEST TANGO and WHY NOT.
Over the concluding stages, SUPREME FLIGHT raced in restricted room between OVETT and KING OF REASON.
When questioned, J Moreira stated that it had been intended for PRINCIPAL to be ridden in about 4th or 5th position if possible, just behind the speed.  He said PRINCIPAL began only fairly and then, despite being ridden along in the early stages, did not show early speed and consequently got back much further than had been intended.  He said he then continued to ride the horse along, however, PRINCIPAL did not respond and was not able to improve its position.  He added when the tempo of the race slackened in the middle stages, he was obliged to race on the rail inside runners and for this reason he had to ride the horse for luck in the Straight as he was prevented from shifting to the outside of runners.  He said he was initially able to improve his position in the early part of the Straight, however, PRINCIPAL was then unable to obtain clear running over about the final 150 Metres and because of this was not able to be fully tested.
PRINCIPAL, JAZZY FEELING and SMART BALL were sent for sampling.
            "
20140914-7.html,2014-09-14,Sha Tin,7,2014-007,Class 4,1400,GOOD TO FIRM,TAMAR HANDICAP,"TURF - ""A"" COURSE",13.75 22.11 23.99 23.09,"
                CULTURAL CITY and HAPPY ROCKY began awkwardly.
Despite being ridden along in the early stages, MARK TWO, which began awkwardly, failed to muster speed and then, for the majority of the race, travelled wide and without cover.
After the 1000 Metres, DEMOKLES was left racing wide and without cover.
After the 900 Metres, LIBERAL OF MIND was awkwardly placed close to the heels of GRAND HARBOUR.
Making the turn after the 900 Metres, HIT A HOME RUN raced tight between VARA PEARL and WATCH KING which shifted out.
In the early part of the Straight, HIT A HOME RUN was held up for clear running when awkwardly placed close to the heels of MARK TWO.
For some distance after the 300 Metres, VARA PEARL had difficulty obtaining clear running and then when attempting to improve between HIT A HOME RUN and GRAND HARBOUR made contact with HIT A HOME RUN on several occasions.
When questioned, K Teetan stated that he had been asked to ensure that he obtained cover on GRAND HARBOUR.  He said he was further asked not to ride the horse along in the early stages but it was felt that GRAND HARBOUR would have sufficient natural speed to obtain a handy position and it was hoped that the horse would be able to follow HIDDEN VALUE which connections believed would be a strong chance in todayâs race.  He said after GRAND HARBOUR began well, he shifted across to race outside HIDDEN VALUE, however, DEMOKLES was being aggressively ridden to the inside of GRAND HARBOUR.  He said he believed if he continued to race outside HIDDEN VALUE, GRAND HARBOUR would be left racing wide and without cover which was contrary to his instructions.  He said he therefore elected to steady GRAND HARBOUR and obtain cover which he was able to do behind VARA PEARL after the 1000 Metres.  He said he was comfortable in this position as GRAND HARBOUR was travelling well and he had been able to obtain cover as requested.  He added however that approaching the 700 Metres GRAND HARBOUR was taken wider by HIT A HOME RUN which shifted out and this resulted in GRAND HARBOUR being taken into a four wide position without cover.  He said he therefore elected to allow GRAND HARBOUR to stride forward rather than being taken wider still.  He said in the Straight GRAND HARBOUR hung in and proved difficult to ride but was still able to finish off the race.  
HIT A HOME RUN, HIDDEN VALUE and GRAND HARBOUR were sent for sampling.
            "
20140914-8.html,2014-09-14,Sha Tin,8,2014-008,Class 3,1200,GOOD TO FIRM,DRAKE HANDICAP,"TURF - ""A"" COURSE",24.03 22.22 22.65,"
                MULTIEXPRESS was withdrawn on 12.9.14 by order of the Stewards acting on veterinary advice (lame left fore foot).  Before being allowed to race again, MULTIEXPRESS will be subjected to an official veterinary examination.
FASHION MAESTRO began only fairly and then travelled wide and without cover throughout the race.
From the outside barriers, EN CIVIL and SPARKLING B were taken across behind runners in the early stages.
When being steadied to obtain cover after the 1000 Metres, ALL GREAT FRIENDS got its head up and travelled keenly.
IMPERIAL FIGHTER lost its right front plate at the 800 Metres.
In the Straight, UNIVERSAL UNION raced greenly and shifted ground on a number of occasions.
PEARL WIN travelled wide and without cover for the majority of the race.
After the race, an endoscopic examination was conducted on IMPERIAL FIGHTER at the request of Trainer A T Millard.  The Veterinary Surgeon said this examination showed a substantial amount of blood in the horse's trachea.  Before being allowed to race again, IMPERIAL FIGHTER will be subjected to an official veterinary examination.
SUPREME FALCON and UNIVERSAL UNION were sent for sampling.
            "
20140914-9.html,2014-09-14,Sha Tin,9,2014-009,Class 2,1000,GOOD TO FIRM,ALBERT HANDICAP,"TURF - ""A"" COURSE",13.09 20.61 22.09,"
                MY LITTLE FRIEND began awkwardly and then shortly after the start blundered after being checked away from the heels of MY NAME IS BOND which shifted in.
BUNDLE OF LOVE and EXCITING DREAM bumped at the start.
GURUS DREAM began awkwardly.
CHARITY JOY began awkwardly and then was checked and blundered when crowded for room between ATACX which initially shifted out of its own accord and then was taken out by ENSEMBLE and CALIFORNIA BOUNTY which shifted in.
BUNDLE OF JOY shifted out at the start and bumped CRACKERJACK.
Shortly after the start, EXCITING DREAM lost its left front plate.
Near the 900 Metres, CRACKERJACK was momentarily crowded for room between ATACX and MY NAME IS BOND which was taken out by EXCITING DREAM.  EXCITING DREAM was then shifted back in to relieve tightening to runners to its outside.
For the majority of the race, CALIFORNIA BOUNTY lay in.
BUNDLE OF JOY and LONDON CHINA TOWN were sent for sampling.
            "
